country_code,indicator_code_0,indicator_code_1,slope,intercept,r_value,p_value,std_err
PHL,SE.XPD.CSEC.ZS,SE.XPD.CPRM.ZS,0.6781706753760768,31.025787463814467,0.7564020915002104,0.011343285417564755,0.20734331726025432
PHL,SE.XPD.CSEC.ZS,SE.XPD.CSEC.ZS,1.0,0.0,1.0,4.375000000000076e-80,0.0
PHL,SE.XPD.CSEC.ZS,SE.XPD.CTER.ZS,1.2741609276603427,-25.23132979976421,0.841724568432093,0.002257712402768166,0.2889537799685729
PHL,SE.XPD.CSEC.ZS,SE.XPD.CTOT.ZS,0.8597238413607162,13.395837584083395,0.8975609958749815,0.0004250380501231125,0.14930713141125695
PHL,SE.XPD.CSEC.ZS,SI.DST.10TH.10,0.11429478574912605,22.992823519354285,0.20292662991825217,0.5739303199647567,0.1949894440075109
PHL,SE.XPD.CSEC.ZS,SI.DST.05TH.20,0.08429537519501176,41.80477988054345,0.14382334720334997,0.6918138870585001,0.20506452270489975
PHL,SE.XPD.CSEC.ZS,SI.DST.FRST.10,-0.006842224407618263,3.126066363288274,-0.08879789141233653,0.8072790175088208,0.02713505216186128
PHL,SE.XPD.CSEC.ZS,SI.DST.FRST.20,-0.013218138858013179,7.197579199130704,-0.08175863708729338,0.8223436926134475,0.056968565642973985
PHL,SE.XPD.CSEC.ZS,SI.POV.GAPS,0.013575302280083698,3.2610616013393807,0.016949972887452945,0.9629325850594086,0.2831216702407185
PHL,SE.XPD.CTER.ZS,BN.KLT.DINV.CD,64189349.03855861,-5614546406.50272,0.2670414917638544,0.4557512946578991,81898198.02044427
PHL,SE.XPD.CTER.ZS,BX.GSR.GNFS.CD,-663822719.1768726,115431548403.54459,-0.2551063836844311,0.47687583567357295,889555783.3469818
PHL,SE.XPD.CTER.ZS,BM.GSR.GNFS.CD,-533955853.89815277,114248969173.34286,-0.18795906172979734,0.6030599648364352,986476604.2155156
PHL,SE.XPD.CTER.ZS,SE.SEC.PROG.ZS,0.09132661002471287,88.18403622476221,0.1463037482795164,0.6867233966741579,0.21832246919041612
PHL,SE.XPD.CTER.ZS,SE.XPD.MPRM.ZS,0.5915124917475626,30.154010824844043,0.40060483550735254,0.2512884842352548,0.4783184886834337
PHL,SE.XPD.CTER.ZS,SE.XPD.MSEC.ZS,0.8691788219026073,-2.817796071308649,0.6001578676503109,0.06659751256471427,0.40956641027684487
PHL,SE.XPD.CTER.ZS,SE.XPD.MTER.ZS,1.0426522447713475,-22.88728615183574,0.8373906112468535,0.0025014875730967868,0.24062456229987386
